Unicode	IVS	CID	OTFT	Unicode
5026	E0100	1863	'jp90'	5026
5026	E0101	7674	'jp04'	5026
50C5	E0100	1735	'jp90'	50C5
50C5	E0101	7662	'jp04'	50C5
5132	E0100	3813	'jp90'	5132
5132	E0101	7798	'jp04'	5132
514E	E0100	3136	'jp90'	514E
514E	E0101	13949	'jp04'	514E
5154	E0100	7814	'jp78'	5154
5189	E0101	7815	'jp78'	5189
5195	E0100	7816	'jp78'	5195
51A4	E0100	4228	'jp90'	51A4
51A4	E0101	7817	'jp78'	51A4
51CB	E0101	7742	'jp78'	51CB
5275	E0101	7723	'jp78'	5275
537F	E0101	1698	'jp90'	537F
537F	E0102	7661	'jp04'	537F
53A9	E0100	1243	'jp90'	53A9
53A9	E0101	7640	'jp78'	53A9
53A9	E0105	20271	'jp04'	53A9
53C9	E0100	2085	'jp90'	53C9
53C9	E0101	20281	'jp04'	53C9
53DB	E0100	3412	'jp90'	53DB
53DB	E0101	7978	'jp04'	53DB
53DF	E0100	4332	'jp90'	53DF
53DF	E0101	14111	'jp04'	53DF
54AC	E0100	4368	'jp90'	54AC
54AC	E0101	20277	'jp04'	54AC
54E8	E0100	2445	'jp90'	54E8
54E8	E0101	7703	'jp04'	54E8
5533	E0101	7819	'jp78'	5533
5539	E0101	7818	'jp78'	5539
5544	E0101	7730	'jp78'	5544
559D	E0101	7651	'jp78'	559D
55B0	E0100	1772	'jp90'	55B0
55B0	E0101	7664	'jp04'	55B0
5632	E0100	4433	'jp90'	5632
5632	E0101	7821	'jp04'	5632
5642	E0100	1247	'jp90'	5642
5642	E0101	7642	'jp04'	5642
564C	E0100	2747	'jp90'	564C
564C	E0101	7721	'jp04'	564C
5678	E0101	7762	'jp78'	5678
56A5	E0101	7822	'jp78'	56A5
56C0	E0100	4454	'jp90'	56C0
56C0	E0101	14116	'jp04'	56C0
580B	E0101	7823	'jp78'	580B
5835	E0100	3138	'jp90'	5835
5835	E0101	7753	'jp04'	5835
5858	E0101	7757	'jp78'	5858
585A	E0101	7746	'jp78'	585A
5906	E0100	17469	'jp90'	5906
5906	E0101	21371	'jp04'	5906
5A29	E0100	3626	'jp90'	5A29
5A29	E0101	7791	'jp04'	5A29
5A9B	E0101	7784	'jp78'	5A9B
5ABE	E0101	7824	'jp78'	5ABE
5ACC	E0101	7675	'jp78'	5ACC
5C51	E0100	1781	'jp90'	5C51
5C51	E0101	7666	'jp04'	5C51
5C60	E0100	3141	'jp90'	5C60
5C60	E0101	7754	'jp78'	5C60
5DF7	E0100	1981	'jp90'	5DF7
5DF7	E0101	7679	'jp04'	5DF7
5DFD	E0100	7734	'jp78'	5DFD
5E96	E0100	3657	'jp90'	5E96
5E96	E0101	7792	'jp04'	5E96
5EDF	E0100	3506	'jp90'	5EDF
5EDF	E0101	7786	'jp04'	5EDF
5EE0	E0101	7704	'jp78'	5EE0
5EFB	E0100	1398	'jp90'	5EFB
5EFB	E0101	13673	'jp04'	5EFB
5F98	E0100	4796	'jp90'	5F98
5F98	E0101	13538	'jp04'	5F98
5FBD	E0100	1605	'jp90'	5FBD
5FBD	E0101	7658	'jp04'	5FBD
6062	E0100	1402	'jp90'	6062
6062	E0101	7648	'jp78'	6062
6062	E0102	20269	'jp04'	6062
6097	E0101	7828	'jp78'	6097
609E	E0100	14541	'jp90'	609E
609E	E0101	21558	'jp04'	609E
6108	E0100	3848	'jp90'	6108
6108	E0101	7802	'jp04'	6108
6167	E0101	7669	'jp78'	6167
61F2	E0101	13369	'jp90'	FA40
61F2	E0103	21072	'jp04'	FA40
6241	E0100	4943	'jp90'	6241
6241	E0101	7991	'jp04'	6241
6248	E0101	7874	'jp78'	6248
6249	E0101	7779	'jp78'	6249
62D0	E0101	7649	'jp78'	62D0
633A	E0100	3086	'jp90'	633A
633A	E0101	20286	'jp04'	633A
633D	E0100	3432	'jp90'	633D
633D	E0101	7778	'jp04'	633D
6357	E0100	3033	'jp90'	6357
6357	E0101	7743	'jp04'	6357
6369	E0101	7829	'jp78'	6369
6372	E0100	1876	'jp90'	6372
6372	E0101	7676	'jp04'	6372
63C3	E0100	2839	'jp90'	63C3
63C3	E0101	7975	'jp04'	63C3
6406	E0101	7830	'jp78'	6406
646F	E0100	5020	'jp90'	646F
646F	E0101	20264	'jp04'	646F
647A	E0100	2630	'jp90'	647A
647A	E0101	7713	'jp04'	647A
64B0	E0100	2709	'jp90'	64B0
64B0	E0101	7716	'jp04'	64B0
64E2	E0100	3105	'jp90'	64E2
64E2	E0101	7749	'jp04'	64E2
6583	E0101	7832	'jp78'	6583
65A7	E0100	3538	'jp90'	65A7
65A7	E0101	20289	'jp04'	65A7
6666	E0100	1408	'jp90'	6666
6666	E0101	7650	'jp04'	6666
66B5	E0100	17755	'jp90'	66B5
66B5	E0101	21722	'jp04'	66B5
66D9	E0101	7699	'jp78'	66D9
6753	E0100	2313	'jp90'	6753
6753	E0101	7695	'jp78'	6753
6756	E0100	2523	'jp90'	6756
6756	E0101	20282	'jp04'	6756
67A6	E0101	7833	'jp78'	67A6
67CA	E0101	7781	'jp78'	67CA
6813	E0101	7717	'jp78'	6813
6897	E0100	1998	'jp90'	6897
6897	E0101	20279	'jp04'	6897
689B	E0101	7835	'jp78'	689B
68A2	E0101	7705	'jp78'	68A2
68DA	E0101	7736	'jp78'	68DA
6962	E0100	3266	'jp90'	6962
6962	E0101	7768	'jp04'	6962
696F	E0100	2407	'jp90'	696F
696F	E0101	13460	'jp04'	696F
698A	E0100	2135	'jp90'	698A
698A	E0101	7686	'jp04'	698A
6994	E0100	4055	'jp90'	6994
6994	E0101	7812	'jp04'	6994
69CC	E0100	3044	'jp90'	69CC
69CC	E0101	7744	'jp04'	69CC
6A0B	E0100	3465	'jp90'	6A0B
6A0B	E0101	7780	'jp04'	6A0B
6A3D	E0100	2924	'jp90'	6A3D
6A3D	E0101	7738	'jp04'	6A3D
6A9C	E0100	5179	'jp78'	6867
6ADB	E0100	7665	'jp78'	6ADB
6ADB	E0101	1779	'jp90'	6ADB
6B1D	E0101	7639	'jp78'	6B1D
6B4E	E0100	2933	'jp90'	6B4E
6B4E	E0101	13915	'jp04'	6B4E
6C72	E0100	1660	'jp90'	6C72
6C72	E0101	7966	'jp04'	6C72
6CE1	E0101	7793	'jp78'	6CE1
6DEB	E0100	1216	'jp90'	6DEB
6DEB	E0101	7637	'jp04'	6DEB
6E1A	E0100	7700	'jp78'	6E1A
6E6E	E0101	7837	'jp78'	6E6E
6E9D	E0101	7681	'jp78'	6E9D
6EA2	E0100	1202	'jp90'	6EA2
6EA2	E0101	7635	'jp04'	6EA2
6EBA	E0100	3112	'jp90'	6EBA
6EBA	E0101	7750	'jp78'	6EBA
6F23	E0100	7809	'jp78'	6F23
6F23	E0101	4034	'jp90'	6F23
6F51	E0100	7776	'jp78'	6E8C
6FEF	E0101	7731	'jp78'	6FEF
7015	E0100	3520	'jp90'	7015
7015	E0101	7787	'jp04'	7015
701E	E0100	3244	'jp90'	701E
701E	E0101	7761	'jp04'	701E
7026	E0100	2995	'jp90'	7026
7026	E0101	7741	'jp04'	7026
7058	E0100	3263	'jp90'	7058
7058	E0101	7767	'jp04'	7058
7078	E0100	1662	'jp90'	7078
7078	E0101	20270	'jp04'	7078
707C	E0100	2314	'jp90'	707C
707C	E0101	7696	'jp04'	707C
7149	E0100	7810	'jp78'	7149
7149	E0101	4035	'jp90'	7149
714E	E0100	2717	'jp90'	714E
714E	E0101	7718	'jp04'	714E
7152	E0100	14762	'jp90'	7152
7152	E0101	21933	'jp04'	7152
717D	E0100	2718	'jp90'	717D
717D	E0101	7719	'jp78'	717D
717D	E0102	7972	'jp04'	717D
7194	E0101	7805	'jp78'	7194
7228	E0100	7839	'jp78'	7228
723A	E0100	3832	'jp90'	723A
723A	E0101	20294	'jp04'	723A
724C	E0100	3341	'jp90'	724C
724C	E0101	7771	'jp04'	724C
7259	E0100	1383	'jp90'	7259
7259	E0101	7965	'jp04'	7259
72E1	E0100	5629	'jp90'	72E1
72E1	E0101	20278	'jp04'	72E1
7337	E0100	3868	'jp90'	7337
7337	E0101	7804	'jp78'	7337
7337	E0102	14074	'jp04'	7337
73CA	E0101	7691	'jp78'	73CA
73CE	E0101	7840	'jp78'	73CE
7422	E0100	7732	'jp78'	7422
7504	E0101	7841	'jp78'	7504
750D	E0101	7842	'jp78'	750D
7511	E0100	2059	'jp90'	7511
7511	E0101	7684	'jp78'	7511
7511	E0103	20284	'jp04'	7511
7515	E0100	5704	'jp90'	7515
7515	E0101	7843	'jp78'	7515
7515	E0102	20267	'jp04'	7515
7526	E0100	5707	'jp90'	7526
7526	E0101	20283	'jp04'	7526
75BC	E0100	5741	'jp90'	75BC
75BC	E0101	20175	'jp04'	75BC
7626	E0101	7725	'jp78'	75E9
7652	E0101	7803	'jp78'	7652
7693	E0101	7844	'jp78'	7693
77A5	E0100	3613	'jp90'	77A5
77A5	E0101	7790	'jp04'	77A5
783A	E0100	3153	'jp78'	792A
787C	E0101	7845	'jp78'	787C
792A	E0100	5855	'jp78'	783A
7941	E0100	1805	'jp90'	7941
7941	E0101	7668	'jp04'	7941
7947	E0100	1626	'jp90'	7947
7947	E0101	7659	'jp04'	7947
79B0	E0100	3295	'jp90'	79B0
